d-bar12|border-radius: var(--br12);
d-gg12|grid-gap: var(--su12);
d-gg16|grid-gap: var(--su16);
d-gg24|grid-gap: var(--su24);
d-gg32|grid-gap: var(--su32);
d-gg48|grid-gap: var(--su48);
d-gg64|grid-gap: var(--su64);
d-gg0|grid-gap: var(--su0);
d-gg1|grid-gap: var(--su1);
d-gg2|grid-gap: var(--su2);
d-gg4|grid-gap: var(--su4);
d-gg6|grid-gap: var(--su6);
d-gg8|grid-gap: var(--su8);
d-gg-unset|grid-gap: unset;
d-grg12|grid-row-gap: var(--su12);
d-grg16|grid-row-gap: var(--su16);
d-grg24|grid-row-gap: var(--su24);
d-grg32|grid-row-gap: var(--su32);
d-grg48|grid-row-gap: var(--su48);
d-grg64|grid-row-gap: var(--su64);
d-grg0|grid-row-gap: var(--su0);
d-grg1|grid-row-gap: var(--su1);
d-grg2|grid-row-gap: var(--su2);
d-grg4|grid-row-gap: var(--su4);
d-grg6|grid-row-gap: var(--su6);
d-grg8|grid-row-gap: var(--su8);
d-grg-unset|grid-row-gap: unset;
d-gcg12|grid-column-gap: var(--su12);
d-gcg16|grid-column-gap: var(--su16);
d-gcg24|grid-column-gap: var(--su24);
d-gcg32|grid-column-gap: var(--su32);
d-gcg48|grid-column-gap: var(--su48);
d-gcg64|grid-column-gap: var(--su64);
d-gcg0|grid-column-gap: var(--su0);
d-gcg1|grid-column-gap: var(--su1);
d-gcg2|grid-column-gap: var(--su2);
d-gcg4|grid-column-gap: var(--su4);
d-gcg6|grid-column-gap: var(--su6);
d-gcg8|grid-column-gap: var(--su8);
d-gcg-unset|grid-column-gap: unset;
d-g-rows10|grid-template-rows: [full-start] repeat(10, [col-start] minmax(0, 1fr) [col-end]) [full-end];
d-g-rows11|grid-template-rows: [full-start] repeat(11, [col-start] minmax(0, 1fr) [col-end]) [full-end];
d-g-rows12|grid-template-rows: [full-start] repeat(12, [col-start] minmax(0, 1fr) [col-end]) [full-end];
d-g-rows1|grid-template-rows: [full-start] repeat(1, [col-start] minmax(0, 1fr) [col-end]) [full-end];
d-g-rows2|grid-template-rows: [full-start] repeat(2, [col-start] minmax(0, 1fr) [col-end]) [full-end];
d-g-rows3|grid-template-rows: [full-start] repeat(3, [col-start] minmax(0, 1fr) [col-end]) [full-end];
d-g-rows4|grid-template-rows: [full-start] repeat(4, [col-start] minmax(0, 1fr) [col-end]) [full-end];
d-g-rows5|grid-template-rows: [full-start] repeat(5, [col-start] minmax(0, 1fr) [col-end]) [full-end];
d-g-rows6|grid-template-rows: [full-start] repeat(6, [col-start] minmax(0, 1fr) [col-end]) [full-end];
d-g-rows7|grid-template-rows: [full-start] repeat(7, [col-start] minmax(0, 1fr) [col-end]) [full-end];
d-g-rows8|grid-template-rows: [full-start] repeat(8, [col-start] minmax(0, 1fr) [col-end]) [full-end];
d-g-rows9|grid-template-rows: [full-start] repeat(9, [col-start] minmax(0, 1fr) [col-end]) [full-end];
d-grs10|grid-row-start: 10;
d-grs11|grid-row-start: 11;
d-grs12|grid-row-start: 12;
d-grs1|grid-row-start: 1;
d-grs2|grid-row-start: 2;
d-grs3|grid-row-start: 3;
d-grs4|grid-row-start: 4;
d-grs5|grid-row-start: 5;
d-grs6|grid-row-start: 6;
d-grs7|grid-row-start: 7;
d-grs8|grid-row-start: 8;
d-grs9|grid-row-start: 9;
d-grs-auto|grid-row-start: auto;
d-grs-unset|grid-row-start: unset;
d-gre10|grid-row-end: 10;
d-gre11|grid-row-end: 11;
d-gre12|grid-row-end: 12;
d-gre1|grid-row-end: 1;
d-gre2|grid-row-end: 2;
d-gre3|grid-row-end: 3;
d-gre4|grid-row-end: 4;
d-gre5|grid-row-end: 5;
d-gre6|grid-row-end: 6;
d-gre7|grid-row-end: 7;
d-gre8|grid-row-end: 8;
d-gre9|grid-row-end: 9;
d-gre-auto|grid-row-end: auto;
d-gre-unset|grid-row-end: unset;
d-gr10|grid-row: span 10  /  span 10;
d-gr11|grid-row: span 11  /  span 11;
d-gr12|grid-row: span 12  /  span 12;
d-gr1|grid-row: span 1  /  span 1;
d-gr2|grid-row: span 2  /  span 2;
d-gr3|grid-row: span 3  /  span 3;
d-gr4|grid-row: span 4  /  span 4;
d-gr5|grid-row: span 5  /  span 5;
d-gr6|grid-row: span 6  /  span 6;
d-gr7|grid-row: span 7  /  span 7;
d-gr8|grid-row: span 8  /  span 8;
d-gr9|grid-row: span 9  /  span 9;
d-gr-full|grid-row: 1  /  -1;
d-gr-auto|grid-row: auto;
d-gr-unset|grid-row: unset;
d-t50p|top: 50%;
d-t100p-calc|top: calc(100% + 8px); top: calc(100% + 8px); top: calc(100% + var(--fixed-value, 8px));
d-t100p|top: 100%;
d-tn50p|top: -50%;
d-tn100p-calc|top: calc(-100% + 8px); top: calc(-100% + 8px); top: calc(-100% + var(--fixed-value, 8px));
d-tn100p|top: -100%;
d-t12|top: var(--su12) !important;
d-t16|top: var(--su16) !important;
d-t24|top: var(--su24) !important;
d-t32|top: var(--su32) !important;
d-t48|top: var(--su48) !important;
d-t64|top: var(--su64) !important;
d-t72|top: var(--su72) !important;
d-t84|top: var(--su84) !important;
d-t96|top: var(--su96) !important;
d-t102|top: var(--su102) !important;
d-t0|top: var(--su0) !important;
d-t1|top: var(--su1) !important;
d-t2|top: var(--su2) !important;
d-t4|top: var(--su4) !important;
d-t6|top: var(--su6) !important;
d-t8|top: var(--su8) !important;
d-tn12|top: var(--sun12) !important;
d-tn16|top: var(--sun16) !important;
d-tn24|top: var(--sun24) !important;
d-tn32|top: var(--sun32) !important;
d-tn48|top: var(--sun48) !important;
d-tn64|top: var(--sun64) !important;
d-tn72|top: var(--sun72) !important;
d-tn84|top: var(--sun84) !important;
d-tn96|top: var(--sun96) !important;
d-tn102|top: var(--sun102) !important;
d-tn1|top: var(--sun1) !important;
d-tn2|top: var(--sun2) !important;
d-tn4|top: var(--sun4) !important;
d-tn6|top: var(--sun6) !important;
d-tn8|top: var(--sun8) !important;
d-r50p|right: 50% !important;
d-r100p-calc|right: calc(100% + 8px) !important; right: calc(100% + 8px) !important; right: calc(100% + var(--fixed-value, 8px)) !important;
d-r100p|right: 100% !important;
d-rn50p|right: -50% !important;
d-rn100p-calc|right: calc(-100% + 8px) !important; right: calc(-100% + 8px) !important; right: calc(-100% + var(--fixed-value, 8px)) !important;
d-rn100p|right: -100% !important;
d-r12|right: var(--su12) !important;
d-r16|right: var(--su16) !important;
d-r24|right: var(--su24) !important;
d-r32|right: var(--su32) !important;
d-r48|right: var(--su48) !important;
d-r64|right: var(--su64) !important;
d-r72|right: var(--su72) !important;
d-r84|right: var(--su84) !important;
d-r96|right: var(--su96) !important;
d-r102|right: var(--su102) !important;
d-r0|right: var(--su0) !important;
d-r1|right: var(--su1) !important;
d-r2|right: var(--su2) !important;
d-r4|right: var(--su4) !important;
d-r6|right: var(--su6) !important;
d-r8|right: var(--su8) !important;
d-rn12|right: var(--sun12) !important;
d-rn16|right: var(--sun16) !important;
d-rn24|right: var(--sun24) !important;
d-rn32|right: var(--sun32) !important;
d-rn48|right: var(--sun48) !important;
d-rn64|right: var(--sun64) !important;
d-rn72|right: var(--sun72) !important;
d-rn84|right: var(--sun84) !important;
d-rn96|right: var(--sun96) !important;
d-rn102|right: var(--sun102) !important;
d-rn1|right: var(--sun1) !important;
d-rn2|right: var(--sun2) !important;
d-rn4|right: var(--sun4) !important;
d-rn6|right: var(--sun6) !important;
d-rn8|right: var(--sun8) !important;
d-b50p|bottom: 50% !important;
d-b100p-calc|bottom: calc(100% + 8px) !important; bottom: calc(100% + 8px) !important; bottom: calc(100% + var(--fixed-value, 8px)) !important;
d-b100p|bottom: 100% !important;
d-bn50p|bottom: -50% !important;
d-bn100p-calc|bottom: calc(-100% + 8px) !important; bottom: calc(-100% + 8px) !important; bottom: calc(-100% + var(--fixed-value, 8px)) !important;
d-bn100p|bottom: -100% !important;
d-b12|bottom: var(--su12) !important;
d-b16|bottom: var(--su16) !important;
d-b24|bottom: var(--su24) !important;
d-b32|bottom: var(--su32) !important;
d-b48|bottom: var(--su48) !important;
d-b64|bottom: var(--su64) !important;
d-b72|bottom: var(--su72) !important;
d-b84|bottom: var(--su84) !important;
d-b96|bottom: var(--su96) !important;
d-b102|bottom: var(--su102) !important;
d-b0|bottom: var(--su0) !important;
d-b1|bottom: var(--su1) !important;
d-b2|bottom: var(--su2) !important;
d-b4|bottom: var(--su4) !important;
d-b6|bottom: var(--su6) !important;
d-b8|bottom: var(--su8) !important;
d-bn12|bottom: var(--sun12) !important;
d-bn16|bottom: var(--sun16) !important;
d-bn24|bottom: var(--sun24) !important;
d-bn32|bottom: var(--sun32) !important;
d-bn48|bottom: var(--sun48) !important;
d-bn64|bottom: var(--sun64) !important;
d-bn72|bottom: var(--sun72) !important;
d-bn84|bottom: var(--sun84) !important;
d-bn96|bottom: var(--sun96) !important;
d-bn102|bottom: var(--sun102) !important;
d-bn1|bottom: var(--sun1) !important;
d-bn2|bottom: var(--sun2) !important;
d-bn4|bottom: var(--sun4) !important;
d-bn6|bottom: var(--sun6) !important;
d-bn8|bottom: var(--sun8) !important;
d-l50p|left: 50% !important;
d-l100p-calc|left: calc(100% + 8px) !important; left: calc(100% + 8px) !important; left: calc(100% + var(--fixed-value, 8px)) !important;
d-l100p|left: 100% !important;
d-ln50p|left: -50% !important;
d-ln100p-calc|left: calc(-100% + 8px) !important; left: calc(-100% + 8px) !important; left: calc(-100% + var(--fixed-value, 8px)) !important;
d-ln100p|left: -100% !important;
d-l12|left: var(--su12) !important;
d-l16|left: var(--su16) !important;
d-l24|left: var(--su24) !important;
d-l32|left: var(--su32) !important;
d-l48|left: var(--su48) !important;
d-l64|left: var(--su64) !important;
d-l72|left: var(--su72) !important;
d-l84|left: var(--su84) !important;
d-l96|left: var(--su96) !important;
d-l102|left: var(--su102) !important;
d-l0|left: var(--su0) !important;
d-l1|left: var(--su1) !important;
d-l2|left: var(--su2) !important;
d-l4|left: var(--su4) !important;
d-l6|left: var(--su6) !important;
d-l8|left: var(--su8) !important;
d-ln12|left: var(--sun12) !important;
d-ln16|left: var(--sun16) !important;
d-ln24|left: var(--sun24) !important;
d-ln32|left: var(--sun32) !important;
d-ln48|left: var(--sun48) !important;
d-ln64|left: var(--sun64) !important;
d-ln72|left: var(--sun72) !important;
d-ln84|left: var(--sun84) !important;
d-ln96|left: var(--sun96) !important;
d-ln102|left: var(--sun102) !important;
d-ln1|left: var(--sun1) !important;
d-ln2|left: var(--sun2) !important;
d-ln4|left: var(--sun4) !important;
d-ln6|left: var(--sun6) !important;
d-ln8|left: var(--sun8) !important;
d-y12|top: var(--su12) !important; bottom: var(--su12) !important;
d-y16|top: var(--su16) !important; bottom: var(--su16) !important;
d-y24|top: var(--su24) !important; bottom: var(--su24) !important;
d-y32|top: var(--su32) !important; bottom: var(--su32) !important;
d-y48|top: var(--su48) !important; bottom: var(--su48) !important;
d-y64|top: var(--su64) !important; bottom: var(--su64) !important;
d-y72|top: var(--su72) !important; bottom: var(--su72) !important;
d-y84|top: var(--su84) !important; bottom: var(--su84) !important;
d-y96|top: var(--su96) !important; bottom: var(--su96) !important;
d-y102|top: var(--su102) !important; bottom: var(--su102) !important;
d-y0|top: var(--su0) !important; bottom: var(--su0) !important;
d-y1|top: var(--su1) !important; bottom: var(--su1) !important;
d-y2|top: var(--su2) !important; bottom: var(--su2) !important;
d-y4|top: var(--su4) !important; bottom: var(--su4) !important;
d-y6|top: var(--su6) !important; bottom: var(--su6) !important;
d-y8|top: var(--su8) !important; bottom: var(--su8) !important;
d-yn12|top: var(--sun12) !important; bottom: var(--sun12) !important;
d-yn16|top: var(--sun16) !important; bottom: var(--sun16) !important;
d-yn24|top: var(--sun24) !important; bottom: var(--sun24) !important;
d-yn32|top: var(--sun32) !important; bottom: var(--sun32) !important;
d-yn48|top: var(--sun48) !important; bottom: var(--sun48) !important;
d-yn64|top: var(--sun64) !important; bottom: var(--sun64) !important;
d-yn72|top: var(--sun72) !important; bottom: var(--sun72) !important;
d-yn84|top: var(--sun84) !important; bottom: var(--sun84) !important;
d-yn96|top: var(--sun96) !important; bottom: var(--sun96) !important;
d-yn102|top: var(--sun102) !important; bottom: var(--sun102) !important;
d-yn1|top: var(--sun1) !important; bottom: var(--sun1) !important;
d-yn2|top: var(--sun2) !important; bottom: var(--sun2) !important;
d-yn4|top: var(--sun4) !important; bottom: var(--sun4) !important;
d-yn6|top: var(--sun6) !important; bottom: var(--sun6) !important;
d-yn8|top: var(--sun8) !important; bottom: var(--sun8) !important;
d-x12|right: var(--su12) !important; left: var(--su12) !important;
d-x16|right: var(--su16) !important; left: var(--su16) !important;
d-x24|right: var(--su24) !important; left: var(--su24) !important;
d-x32|right: var(--su32) !important; left: var(--su32) !important;
d-x48|right: var(--su48) !important; left: var(--su48) !important;
d-x64|right: var(--su64) !important; left: var(--su64) !important;
d-x72|right: var(--su72) !important; left: var(--su72) !important;
d-x84|right: var(--su84) !important; left: var(--su84) !important;
d-x96|right: var(--su96) !important; left: var(--su96) !important;
d-x102|right: var(--su102) !important; left: var(--su102) !important;
d-x0|right: var(--su0) !important; left: var(--su0) !important;
d-x1|right: var(--su1) !important; left: var(--su1) !important;
d-x2|right: var(--su2) !important; left: var(--su2) !important;
d-x4|right: var(--su4) !important; left: var(--su4) !important;
d-x6|right: var(--su6) !important; left: var(--su6) !important;
d-x8|right: var(--su8) !important; left: var(--su8) !important;
d-xn12|right: var(--sun12) !important; left: var(--sun12) !important;
d-xn16|right: var(--sun16) !important; left: var(--sun16) !important;
d-xn24|right: var(--sun24) !important; left: var(--sun24) !important;
d-xn32|right: var(--sun32) !important; left: var(--sun32) !important;
d-xn48|right: var(--sun48) !important; left: var(--sun48) !important;
d-xn64|right: var(--sun64) !important; left: var(--sun64) !important;
d-xn72|right: var(--sun72) !important; left: var(--sun72) !important;
d-xn84|right: var(--sun84) !important; left: var(--sun84) !important;
d-xn96|right: var(--sun96) !important; left: var(--sun96) !important;
d-xn102|right: var(--sun102) !important; left: var(--sun102) !important;
d-xn1|right: var(--sun1) !important; left: var(--sun1) !important;
d-xn2|right: var(--sun2) !important; left: var(--sun2) !important;
d-xn4|right: var(--sun4) !important; left: var(--sun4) !important;
d-xn6|right: var(--sun6) !important; left: var(--sun6) !important;
d-xn8|right: var(--sun8) !important; left: var(--sun8) !important;
d-all12|top: var(--su12) !important; right: var(--su12) !important; bottom: var(--su12) !important; left: var(--su12) !important;
d-all16|top: var(--su16) !important; right: var(--su16) !important; bottom: var(--su16) !important; left: var(--su16) !important;
d-all24|top: var(--su24) !important; right: var(--su24) !important; bottom: var(--su24) !important; left: var(--su24) !important;
d-all32|top: var(--su32) !important; right: var(--su32) !important; bottom: var(--su32) !important; left: var(--su32) !important;
d-all48|top: var(--su48) !important; right: var(--su48) !important; bottom: var(--su48) !important; left: var(--su48) !important;
d-all64|top: var(--su64) !important; right: var(--su64) !important; bottom: var(--su64) !important; left: var(--su64) !important;
d-all72|top: var(--su72) !important; right: var(--su72) !important; bottom: var(--su72) !important; left: var(--su72) !important;
d-all84|top: var(--su84) !important; right: var(--su84) !important; bottom: var(--su84) !important; left: var(--su84) !important;
d-all96|top: var(--su96) !important; right: var(--su96) !important; bottom: var(--su96) !important; left: var(--su96) !important;
d-all102|top: var(--su102) !important; right: var(--su102) !important; bottom: var(--su102) !important; left: var(--su102) !important;
d-all0|top: var(--su0) !important; right: var(--su0) !important; bottom: var(--su0) !important; left: var(--su0) !important;
d-all1|top: var(--su1) !important; right: var(--su1) !important; bottom: var(--su1) !important; left: var(--su1) !important;
d-all2|top: var(--su2) !important; right: var(--su2) !important; bottom: var(--su2) !important; left: var(--su2) !important;
d-all4|top: var(--su4) !important; right: var(--su4) !important; bottom: var(--su4) !important; left: var(--su4) !important;
d-all6|top: var(--su6) !important; right: var(--su6) !important; bottom: var(--su6) !important; left: var(--su6) !important;
d-all8|top: var(--su8) !important; right: var(--su8) !important; bottom: var(--su8) !important; left: var(--su8) !important;
d-alln12|top: var(--sun12) !important; right: var(--sun12) !important; bottom: var(--sun12) !important; left: var(--sun12) !important;
d-alln16|top: var(--sun16) !important; right: var(--sun16) !important; bottom: var(--sun16) !important; left: var(--sun16) !important;
d-alln24|top: var(--sun24) !important; right: var(--sun24) !important; bottom: var(--sun24) !important; left: var(--sun24) !important;
d-alln32|top: var(--sun32) !important; right: var(--sun32) !important; bottom: var(--sun32) !important; left: var(--sun32) !important;
d-alln48|top: var(--sun48) !important; right: var(--sun48) !important; bottom: var(--sun48) !important; left: var(--sun48) !important;
d-alln64|top: var(--sun64) !important; right: var(--sun64) !important; bottom: var(--sun64) !important; left: var(--sun64) !important;
d-alln72|top: var(--sun72) !important; right: var(--sun72) !important; bottom: var(--sun72) !important; left: var(--sun72) !important;
d-alln84|top: var(--sun84) !important; right: var(--sun84) !important; bottom: var(--sun84) !important; left: var(--sun84) !important;
d-alln96|top: var(--sun96) !important; right: var(--sun96) !important; bottom: var(--sun96) !important; left: var(--sun96) !important;
d-alln102|top: var(--sun102) !important; right: var(--sun102) !important; bottom: var(--sun102) !important; left: var(--sun102) !important;
d-alln1|top: var(--sun1) !important; right: var(--sun1) !important; bottom: var(--sun1) !important; left: var(--sun1) !important;
d-alln2|top: var(--sun2) !important; right: var(--sun2) !important; bottom: var(--sun2) !important; left: var(--sun2) !important;
d-alln4|top: var(--sun4) !important; right: var(--sun4) !important; bottom: var(--sun4) !important; left: var(--sun4) !important;
d-alln6|top: var(--sun6) !important; right: var(--sun6) !important; bottom: var(--sun6) !important; left: var(--sun6) !important;
d-alln8|top: var(--sun8) !important; right: var(--sun8) !important; bottom: var(--sun8) !important; left: var(--sun8) !important;
d-h100p|height: 100%;
d-h10p|height: 10%;
d-h20p|height: 20%;
d-h25p|height: 25%;
d-h30p|height: 30%;
d-h40p|height: 40%;
d-h50p|height: 50%;
d-h60p|height: 60%;
d-h70p|height: 70%;
d-h75p|height: 75%;
d-h80p|height: 80%;
d-h90p|height: 90%;
d-h1024|height: var(--size1024);
d-h1140|height: var(--size1140);
d-h1268|height: var(--size1268);
d-h1340|height: var(--size1340);
d-h100vh|height: 100vh;
d-h102|height: var(--size102);
d-h114|height: var(--size114);
d-h128|height: var(--size128);
d-h164|height: var(--size164);
d-h216|height: var(--size216);
d-h264|height: var(--size264);
d-h332|height: var(--size332);
d-h464|height: var(--size464);
d-h512|height: var(--size512);
d-h628|height: var(--size628);
d-h764|height: var(--size764);
d-h828|height: var(--size828);
d-h912|height: var(--size912);
d-h12|height: var(--size12);
d-h16|height: var(--size16);
d-h24|height: var(--size24);
d-h32|height: var(--size32);
d-h42|height: var(--size42);
d-h48|height: var(--size48);
d-h64|height: var(--size64);
d-h72|height: var(--size72);
d-h84|height: var(--size84);
